"index_keyword_id","index_keyword"
"4323694c-2ae4-456a-a79b-1ab039389f56","AMAZONIA"
"52f087f0-d505-43ec-bb54-cb74f04a9b0e","BRAZIL"
"cc8a68b3-7ab3-4cf0-b84a-fb079c7e7cd3","DIAMETER"
"1548a2b0-51cd-438e-a2c4-daf46ceb3104","EXPLOITATION"
"fc7e6583-4d04-43e1-8a08-9231a4141006","FOREST MANAGEMENT"
"c0d1c617-1868-4ae8-82d0-d43d99808d1f","STIFFNESS"
"9087c3e1-22b6-454a-8a38-a1d431deb693","STRENGTH"
"5ed3f4eb-87b2-4f51-8f7e-8dde6200eb1e","SUSTAINABLE FORESTRY"
"31c6a0af-ba5a-43dc-8089-489df11888f1","TREE"
"6ff71d8c-ff98-4782-84e9-166a22f5cb62","TROPICAL FOREST"
"89b5c934-d923-4a70-8f43-1404839d8151","WOOD"
"14d67511-b4e9-4947-90d3-98cc768a0be2","AREA"
"31865766-72c9-4f7e-ab01-92b4bf390000","CUTTING"
"85c702d6-7d11-49e1-81d6-110783b5cb3f","DATA"
"2ed6e130-0ccf-4237-b4eb-ea3996b49d2f","ESCHWEILERA"
"785156eb-db04-4cbe-81d0-a0596c9e2435","FORESTRY"
"2debd78e-1f32-42f7-ae95-055be9e37c1c","MONITORING"
"8231d8ad-9a9c-41a0-b9a5-9e2e8162781e","PLANTS"
"bf901b11-3a86-45ca-8d5e-b17dde6a381f","AMAZON RAIN FOREST"
"cf397f6b-4b8e-4d47-afc7-b94b6a849c9d","COMMERCIALISATION"
"cfda8f09-b95a-451c-b0c1-7fd217f444b4","DIAMETRIC DISTRIBUTION"
"3246169a-8f08-4f7a-92f8-3c8bcd22c9da","EASTERN AMAZONS"
"fce4fbb0-08f2-4663-98d1-be11432a9b55","FOREST STRUCTURE"
"50400665-f2d9-406a-b3e9-5e97f645d19b","HIGH POTENTIAL"
"8a05c39c-46ca-4c60-967a-6861b33b4489","NATIONAL FORESTS"
"20c71ab5-cf9b-4603-9a45-83e8b08c1997","PERMANENT PLOT"
"2d09cc5b-a495-4702-8c37-290b428dd333","SILVICULTURAL TREATMENTS"
"f34ffd39-778f-460f-868f-29314bd0ac29","ANTIOXIDANTS"
"d6c268ec-6b9f-4b52-97a1-2d38a372f1cd","APOCYNACEAE"
"ff7bffd5-d0dc-4a61-98fd-5706c51ca0bf","FATTY ACIDS"
"7961056e-25dd-4459-af93-c31cc70da05e","FLAVONOIDS"
"eb1946b5-0d50-47f9-ab5a-d8fabc0fa102","FRUIT"
"2d135c75-9598-423e-8442-3318ec9d0e85","POTASSIUM"
"84004219-38ce-4be4-a86f-754d17d04b02","TANDEM MASS SPECTROMETRY"
"ac6534f7-a6ca-475f-9b34-280286dede82","TERPENES"
"b906c5ae-c965-422c-b243-68a6fcf7ff99","CHROMATOGRAPHIC ANALYSIS"
"d16e31f8-cf75-4166-b672-5ff347397fd7","GAS CHROMATOGRAPHY"
"06b51519-3ee2-4668-90d6-07996f727ec2","LINOLEIC ACID"
"3283a106-d273-4e9d-8fed-793931ef6aee","PALMITIC ACID"
"d524e7b2-2a96-4298-98ad-09f081535145","VOLATILE ORGANIC COMPOUNDS"
"2d7e9c83-4211-437d-b6ab-090f0ca152dd","ANTIOXIDANT"
"e0330d5f-62dd-4762-b484-1db15aef3441","FATTY ACID"
"57f8e466-d6a6-4557-9c22-471980383f5a","FLAVONOID"
"d6a7f0ad-56c4-491c-9b9f-517522770c63","TERPENE"
