"keyword_id","keyword"
"761feed4-5d5e-4e9e-a69a-126a8d17a96b","BASIC DENSITY"
"1b33f066-3a93-4408-b7af-d40388eb9e91","FOREST MANAGEMENT"
"b2d2906d-23b4-494c-8437-522fe5308821","TROPICAL WOOD"
"624e7ea1-7b65-4468-9847-278343e08d9a","WOOD CHEMISTRY"
"7b4373e2-a664-4095-9790-a7e42c6e5e52","WOOD RESISTANCE"
"663c0f9a-9a3c-42f7-8161-cb4f87b99581","AMAZON RAINFOREST"
"4e8fcb24-8b5f-40ba-81d3-c6dfc72e7052","DIAMETRIC DISTRIBUTION"
"de3701e2-65bc-49ab-980f-2a6586818459","FOREST STRUCTURE"
"0a999e9b-b275-499e-b91a-e53d03838893","AMAZONIA"
"09b5bd6d-c0a7-4210-a9f6-b998db0339a2","BOTANICAL EXPLORATION"
"c9f79119-e6dc-40e0-92a7-ee2a1ac3ad56","NEOTROPICS"
"0cf117ad-d947-4d65-b953-6d12a73eca58","TAXONOMY"
"96e1f4c1-ea91-43b7-8e4b-3ea9b0923a6e","DARIÉN REGION"
"31db4019-15d8-44ef-b46b-34f628434438","ENDANGERED SPECIES"
"744d606e-e959-4117-8cbf-8cb2f168f22a","SAPINDALES"
"f1072da8-a1d2-4d70-af1b-bf15d7762fd6","TROPICAL HUMID FOREST"
"3ac1c2d5-b908-4cfd-b212-3c713b1a9a9d","ANTIOXIDANT ACTIVITY"
"462c7d0b-e62e-4649-84cf-4cf1f89a3111","APOCYNACEAE"
"35ab0885-d5a7-4971-ba4f-cb3ca57c51fd","CHROMATOGRAPHY"
"59ee992f-d091-4f19-a3b0-646e2cf3a0e1","NUTRITIONAL"
"0ad271a3-f12e-41f6-80e7-bcd9a0a5c43b","PHENOLIC COMPOUNDS"
"47c42751-135d-4be2-9e6d-43acb39462ba","VOLATILE ORGANIC COMPOUNDS"
"916bd57b-67a0-480b-9c25-083790029f27","DIOSCOREALES"
"4fa5d782-dda8-4a13-8fc6-b4f9aaa18b21","FLORA OF BRAZIL"
"b57d5188-32ea-486b-b30e-a1b507a3eed5","AMAZON BASIN"
"69e760b8-084b-44fa-b4c3-5045dced7b64","BIOMASS GROWTH"
"abab0c08-5304-4ac9-a00b-84294d929d89","CARBON STOCKS"
"a1e5bed0-466c-4aac-8149-132989cb2fde","DEGRADED AREAS"
"bb963435-d75f-4792-89f6-84f5cda0925c","ECOLOGICAL RESTORATION"
"c950a90a-a71a-4d58-b0cc-99d8a4bc4616","FABACEAE"
"3d8c4bb5-e555-4eb1-870c-86ea4c0416af","N-FIXERS"
"0fff948f-2a9d-43c6-b8cd-30a5f702518b","PLANT NUTRITION"
"83f62e57-8976-4cbe-8392-ca5dfee2d74d","SOLUBLE SUGARS"
"955f1086-b4fb-49c5-bb38-2d23cd90d3f1","STARCH"
"e75d4522-17a3-47af-976e-2f967429cdfe","CHEMOPHENETICS"
"be988b32-3080-4412-b489-593812a6ac36","CHEMOSYSTEMATIC MARKERS"
"1abeae81-f991-4f38-9986-5f98012d5103","UNTARGETED METABOLOMICS"
"e7f69bde-f50f-4d0a-a14e-fbe77d20fed1","LOG CLASSIFICATION"
"29bae309-6b94-4019-b227-146d7192f760","SAWMILL"
"396a2c62-fe8f-44e6-adc6-dc648b0da9bb","TIMBER INDUSTRY"
"7b1194f3-8fd3-43f0-8965-c23827e668f9","MALPIGHIALES"
"320ef064-4be9-4154-9d0b-b6fa12c439ee","NEW OCCURRENCES"
"439c3ef0-08a4-4776-ab98-9ae75d77b9e5","OURATEA"
"f322e0f2-ee85-48b3-86c3-e0a4daf9d4a8","SAUVAGESIA"
"e4df693e-8358-4784-b365-59d424135ba6","TAXONOMIC TREATMENT"
"f705a70c-89c8-4f8b-8481-378a106c6cc3","BARK THICKNESS"
"178d0097-4933-4111-aa8d-0020dff37c57","REDUNDANCY ANALYSIS (RDA)"
"712175ea-74da-4033-b1bf-9db82e6cef69","STEM WATER CONTENT"
"2a024bf4-179e-4ba0-b5c2-98a57cf93664","TREE GROWTH"
"9c3acfa1-0a4b-4ba5-8472-02da63d8caaf","BAMBUSEAE"
"5a605850-e164-42d3-9180-f13e63579487","WOODY BAMBOO"
"53d703d1-55dd-4e7c-a5fa-c8d19fc272a4","ALTERNATIVE CONTROL"
"2bd1efca-5e1a-4e39-ab80-5512056b06c8","POTENTIAL INSECTICIDE"
"9c6e34a6-dd7f-4cde-a740-8fe618c29493","SECONDARY METABOLITES"
"71288a6d-94e8-45ff-9267-f953f052d003","AMAZON"
"60f177a3-b044-4e09-8397-70a5a10aa3a1","AMAZONAS STATE"
"fdb1f3b0-96f6-4c48-b118-48905a7dafa8","DICHAEA SECT. DICHAEOPSIS"
"211d6ae2-ddf0-4911-8806-244bfc48981f","NEW RECORD"
"45f7157d-ea3f-46d2-bac3-d90e17e7d495","PARÁ STATE"
"f2c4fe40-20c3-454e-bbea-d4effd81253e","SYNONYMIZATION"
"d117dd38-d2da-48f4-8ae0-dcd3937b9208","CECROPIA"
"38afa3a2-237e-4508-b24f-e43088d9a36c","CHLOROPHYLL CONTENT"
"f9feb73e-a01e-472e-a3a4-a2eca43e74a7","MAGNESIUM DEFICIENCY"
"0a04e6d6-99ed-422a-bc82-437c384bada3","POLYGONACEAE, TERRA FIRME"
"64de9c13-bb1a-41c6-9f4e-add493ca1a2d","FOREST ECOLOGY"
"d38c1015-0e09-4fe2-abed-e947693f8b90","MORISITA INDEX"
"b522c43e-d1fd-43f6-a95d-7be64f365b09","PRACUUBA"
"381256dc-e9bb-4ab2-b4e7-f6867159b1f7","FEEDING DETERRENCE"
"20196591-9998-46c6-a616-2233afd6927f","LARVICIDE"
"7d6f0837-ceba-4d6f-b59a-889dcf98d0ad","OVICIDE"
"043f2901-3616-4d5a-bf00-57546bb8b7f4","PHYTOTOXICITY"
"849f765d-93bb-42bb-b8c5-984872ce3cd3","PLUTELLA XYLOSTELLA"
"0a2f95e6-2df5-4f59-a3bc-4ab5799d804d","REPELLENCY"
"8189cf28-0ba9-4580-a9d8-b704fb72eb24","ELASTICITY"
"b2ed69dc-1f30-4961-b554-e0432d2bf177","INTEGRAL PROJECTION MODEL (IPM)"
"04f8fc19-727a-47a1-a32b-0f2e8f1ea685","LOWLAND FORESTS"
"5da23054-826f-46f8-945e-edf8afeee985","POPULATION DYNAMICS"
"9c5dec31-de51-4029-b17e-f9d6a7caa7bb","SURVIVAL"
"0d0832d4-89be-40de-a7e3-d95daee407f1","AMAZONIAN PACHIRA CLADE"
"f5632c1d-5736-437f-b25f-bc5cb1870aef","BOMBACEAE"
"8c0b7530-7cc4-43e8-b239-73ece8840507","KAPOK"
"548b39f4-2c65-458d-939c-0ef104ebbf9e","NOMENCLATURE"
"22fac3e2-d245-4374-8397-f00b596146fb","LIANA"
"b4e1af68-d605-43d2-b2aa-5326f399c28c","PDBFF"
"4e3b7a11-73a9-4a99-b591-ecc5f5b1fff0","TERRA FIRME"
"f5d93553-3fcc-426f-a354-8ba125193bdb","UNIFOLIOLATE"
"f3854e48-1f5d-4534-b74b-baa9c12750d0","ALISMATALES"
"15542fcc-cf13-470c-a180-44bab1d1e007","AMAZON FOREST"
"45c335ac-9fdd-4fd4-b6e3-c8a044214bf1","IGAPÓ FOREST"
"8ef41fba-45db-46e0-bdad-2ff32d0b44c5","POTHOIDAE"
"9e0dcd90-bc98-425e-a058-e918b6f31c66","CENTRAL AMAZON"
"7143a0d6-83ad-4e63-bbb6-2ce97993ee76","ENDANGERED PLANT"
"6ed0e333-aff0-4a21-acc7-8ded179d0e19","LIANAS"
"eed42b27-3a71-4a60-a907-6036ac3eb386","MARIPEAE"
"b693b33d-c779-456f-8dde-982ecd7d7099","SOLANALES"
"c4b33eb4-1d6d-4caf-803c-734343f41e65","TAXONOMY OF ANGIOSPERMS"
"70c14e35-ac83-4a40-9923-ab17c5bb7d84","ALBICANS CLADE"
"701d11dd-832f-4361-89db-4d2735d50caf","EUDICOTS"
"b4e5ce4f-b9c4-47fa-ad2d-310c62374c66","MICONIA ARGYROPHYLLA"
"1e0be766-e569-4f05-8013-d76f8ef6d7cf","ENDOPLEURA UCHI"
"582e1252-8377-4aca-9d32-dd5843dbf305","HIGH FAT DIET"
"1a35386f-ff4a-467b-915a-0febfc75c66b","OBESITY"
"cce877ec-df70-40ba-a0dd-3ffb787b07bb","SIMVASTATIN"
"bc731db4-6e55-4833-b330-f4cf3cb3a610","BEILSCHMIEDIA"
"ff682eed-335c-44b6-a4a9-f11d7e1a12f6","CRYPTOCARYA"
"63b523b4-ad93-41b3-a350-f062ecf93859","DAMBURNEYA"
"987fba0a-4cf7-4cda-85c5-76b6cf50f55f","LAURACEAE"
"8adc2c5b-ea53-459c-8c45-6e3c11058e05","LINDERA"
"03f31687-a722-40b9-95c3-8839fb59d22e","LITSEA"
"bbeb04a5-d0e4-4769-8e96-07fc1f168bef","MESPILODAPHNE"
"b41a3415-0f06-4b2d-8ade-4bcd856aae36","BERGENIN"
"bb2a6541-fae9-4e27-a279-c4f2714322e0","COX 1 AND 2"
"9299abed-56a3-495d-b519-958d8406c0ce","DFT"
"b5cf2063-44f0-450e-8f4b-6266351ba412","MOLECULAR DOCKING"
"fc182e39-e27a-4ac6-b9f4-8a57416dea5e","MOLECULAR DYNAMICS"
"02234c3c-9259-4362-8dcb-3e8de3705feb","TOPOISOMERASE I AND II"
"99ed35cc-2c75-4e2d-bb64-ffc9e6caa61e","BIOTRANSFORMATION"
"fc8e1e60-7916-49ef-a942-4feb57b2a1e0","MACROFUNGI"
