ipc_id,ipc_code,is_green,ipc_description
0,A01D44/00,False,
1,A01G31/02,False,
2,A01G33/00,False,
3,A01N47/44,False,
4,A01N65/00,True,pesticide alternatives
5,A01N65/04,False,
6,C07K14/415,False,
7,C12N15/82,False,
8,A61K31/455,False,
9,A61P29/00,False,
10,A61K35/78,False,
11,A61K7/00,False,
12,A61P17/00,False,
13,C11D3/382,False,
14,A61K36/18,False,
15,A61K8/00,False,
16,A61K8/96,False,
17,A61K8/97,False,
18,A61Q11/00,False,
19,A61Q19/00,False,
20,A61Q19/10,False,
21,A61Q5/02,False,
22,A61K36/185,False,
23,A61P15/00,False,
24,A61K36/00,False,
25,A61K36/28,False,
26,A61K9/06,False,
27,A61K7/06,False,
28,A61P5/00,False,
29,A61Q5/00,False,
30,A61Q7/00,False,
31,A61K7/26,False,
32,C09B61/00,False,
33,A61K36/48,False,
34,A61K47/46,False,
35,A61K8/9789,False,
36,A61K9/107,False,
37,A61P17/02,False,
38,A61K36/38,False,
39,A61K36/74,False,
40,A61K9/00,False,
41,A61Q17/04,False,
42,A01H4/00,False,
43,C12N5/04,False,
44,A01H1/02,False,
45,A23L27/10,False,
46,A23L27/12,False,
47,A23L27/30,False,
48,C11B9/00,False,
49,A61P13/00,False,
50,A61P13/10,False,
51,A61K31/453,False,
52,A61P13/02,False,
53,A61P43/00,False,
54,A61K31/00,False,
55,A61K31/12,False,
56,A61K31/202,False,
57,A61K31/385,False,
58,A61K31/4045,False,
59,A61K31/405,False,
60,A61K31/685,False,
61,A61K36/236,False,
62,A61K36/258,False,
63,A61K36/488,False,
64,A61K36/53,False,
65,A61K36/539,False,
66,A61K36/67,False,
67,A61K36/69,False,
68,A61K36/725,False,
69,A61K36/752,False,
70,A61K36/79,False,
71,A61K36/81,False,
72,A61K36/8964,False,
73,A61K36/899,False,
74,A61K9/48,False,
75,A61P25/00,False,
76,A61P25/22,False,
77,A23L33/105,False,
78,A61P17/14,False,
79,A61K8/34,False,
80,A61K8/49,False,
81,A23L3/3472,False,
82,A23L3/349,False,
83,A23L3/3526,False,
84,A23L3/3544,False,
85,A23L3/358,False,
86,A23L5/20,False,
87,A23L27/00,False,
88,A23D9/00,False,
89,A23L33/10,False,
90,A61K31/05,False,
91,A61K31/353,False,
92,A61K31/7034,False,
93,A61K31/7048,False,
94,A61K36/61,False,
95,A61K47/24,False,
96,A61K47/40,False,
97,A61K8/14,False,
98,A61K8/55,False,
99,A61K8/60,False,
100,A61K8/73,False,
101,A61K9/127,False,
102,A61Q19/02,False,
103,A61Q19/08,False,
104,C07C37/88,False,
105,C07C39/21,False,
106,A61K47/14,False,
107,A61K8/06,False,
108,A61K8/37,False,
109,A61K9/113,False,
110,B01J13/00,False,
111,A61P21/00,False,
112,A61P25/08,False,
113,A61P25/14,False,
114,A61P25/16,False,
115,A61P25/18,False,
116,A61P25/20,False,
117,A61P25/24,False,
118,A61P25/28,False,
119,A61P25/32,False,
120,A61P27/02,False,
121,A61P9/00,False,
122,A61P9/10,False,
123,A61K9/08,False,
124,A61K47/36,False,
125,A61K47/42,False,
126,A61K31/728,False,
127,A61K38/39,False,
128,A61K38/05,False,
129,A61K47/02,False,
130,A61K47/12,False,
131,A61K47/18,False,
132,A61K47/22,False,
133,A61K8/24,False,
134,A61K8/365,False,
135,A61K8/41,False,
136,A61P17/16,False,
137,A61K31/085,False,
138,A61P13/12,False,
139,A61P3/00,False,
140,A61P3/10,False,
141,C12Q1/68,False,
142,G01N33/15,False,
143,G01N33/50,False,
144,A61K31/198,False,
145,A61K31/221,False,
146,A61K31/7068,False,
147,A61K36/41,False,
148,A61K36/66,False,
149,A61K36/77,False,
150,C07C37/84,False,
151,A23G3/34,False,
152,A23L2/00,False,
153,A23L2/38,False,
154,A23L2/52,False,
155,A23L2/02,False,
156,A23L21/10,False,
157,A23L1/30,False,
158,A61K36/70,False,
159,A61K31/343,False,
160,C07C37/72,False,
161,A61K8/35,False,
162,C12Q1/02,False,
163,A61P3/04,False,
164,C12N5/077,False,
165,A23L29/00,False,
166,A23L29/30,False,
167,C07D407/04,False,
168,C12C5/02,False,
169,A61P39/06,False,
170,A01M1/02,False,
171,A01M1/10,False,
172,A01N31/02,False,
173,A01N43/08,False,
174,A61K7/48,False,
175,A61Q1/00,False,
176,A61Q1/12,False,
177,A61K38/54,False,
178,C12Q1/6895,False,
179,G16B30/10,False,
180,G16B50/00,False,
181,A61P31/00,False,
182,A61P31/04,False,
183,A61P31/16,False,
184,A61P37/04,False,
185,A61K31/401,False,
186,A61P3/06,False,
187,A61P19/10,False,
188,A61P19/00,False,
189,A61P33/00,False,
190,A61K31/185,False,
191,A61P1/00,False,
192,A61P1/04,False,
193,A61K36/60,False,
194,A61P13/08,False,
195,A23L2/56,False,
196,A23L27/24,False,
197,C12G3/06,False,
198,C12P1/02,False,
199,A61K31/365,False,
200,C07D313/06,False,
201,A61K31/335,False,
202,A61K31/445,False,
203,A61K31/47,False,
204,A61K31/52,False,
205,A61K31/535,False,
206,A61K38/13,False,
207,A61P37/00,False,
208,A61P37/06,False,
209,C07D493/04,False,
210,A23G1/42,False,
211,A23G1/48,False,
